property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day,agency,agent
15,1015,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_15.html,Room,14663000.0,8M - 20M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.541788,73.002676,1,18.97 Marla,18.97,5164.58,For Sale,1,2020-02-19,2020,2,19,Graana Real Estate,Bilal Iqbal
16,1016,https://www.zameen.com/Property/lahore_model_town_16.html,Farm House,177900.0,Rental,"Model Town, Lahore",Lahore,Punjab,Model Town,31.526206,74.301129,6,4.56 Marla,4.56,1241.46,For Rent,6,2019-03-24,2019,3,24,Zameen Estate Hub,Ayesha Sheikh
17,1017,https://www.zameen.com/Property/karachi_gulshan-e-iqbal_17.html,Lower Portion,1351000.0,Under 3M,"Gulshan-e-Iqbal, Karachi",Karachi,Sindh,Gulshan-e-Iqbal,24.928919,67.056891,5,4.94 Marla,4.94,1344.92,For Sale,5,2024-01-24,2024,1,24,Skyline Properties,Ahmed Malik
18,1018,https://www.zameen.com/Property/karachi_bahria_town_karachi_18.html,Lower Portion,3913000.0,3M - 8M,"Bahria Town Karachi, Karachi",Karachi,Sindh,Bahria Town Karachi,24.848381,67.074271,2,16.21 Marla,16.21,4413.17,For Sale,2,2022-05-19,2022,5,19,Aiwan-e-Property,Zainab Butt
19,1019,https://www.zameen.com/Property/faisalabad_madina_town_19.html,Flat,5231000.0,3M - 8M,"Madina Town, Faisalabad",Faisalabad,Punjab,Madina Town,31.446686,73.202102,4,8.75 Marla,8.75,2382.19,For Sale,5,2021-07-08,2021,7,8,Graana Real Estate,Ahmed Aslam
20,1020,https://www.zameen.com/Property/faisalabad_susan_road_20.html,House,91200.0,Rental,"Susan Road, Faisalabad",Faisalabad,Punjab,Susan Road,31.409794,73.150123,1,5.35 Marla,5.35,1456.54,For Rent,1,2020-08-21,2020,8,21,Metro Homes Realty,Bilal Aslam
21,1021,https://www.zameen.com/Property/faisalabad_wapda_city_21.html,Lower Portion,16423000.0,8M - 20M,"Wapda City, Faisalabad",Faisalabad,Punjab,Wapda City,31.391341,73.15828,3,24.08 Marla,24.08,6555.78,For Sale,3,2021-07-10,2021,7,10,Zameen Estate Hub,Usman Iqbal
22,1022,https://www.zameen.com/Property/rawalpindi_satellite_town_22.html,Penthouse,51100.0,Rental,"Satellite Town, Rawalpindi",Rawalpindi,Punjab,Satellite Town,33.634422,73.077838,5,2.97 Marla,2.97,808.58,For Rent,5,2020-05-23,2020,5,23,Prime Estate Consultants,Usman Chaudhry
23,1023,https://www.zameen.com/Property/karachi_gulshan-e-iqbal_23.html,Upper Portion,15328000.0,8M - 20M,"Gulshan-e-Iqbal, Karachi",Karachi,Sindh,Gulshan-e-Iqbal,24.823015,67.063454,4,26.02 Marla,26.02,7083.94,For Sale,5,2024-03-21,2024,3,21,Aiwan-e-Property,Bilal Chaudhry
24,1024,https://www.zameen.com/Property/faisalabad_susan_road_24.html,Upper Portion,5499000.0,3M - 8M,"Susan Road, Faisalabad",Faisalabad,Punjab,Susan Road,31.515254,73.190377,1,8.35 Marla,8.35,2273.29,For Sale,2,2020-12-17,2020,12,17,Prime Estate Consultants,Zainab Butt
25,1025,https://www.zameen.com/Property/lahore_model_town_25.html,Lower Portion,119900.0,Rental,"Model Town, Lahore",Lahore,Punjab,Model Town,31.553307,74.368445,1,2.7 Marla,2.7,735.08,For Rent,2,2019-10-24,2019,10,24,City Housing Marketing,Zainab Javed
26,1026,https://www.zameen.com/Property/lahore_dha_phase_5_26.html,Farm House,716100.0,Rental,"DHA Phase 5, Lahore",Lahore,Punjab,DHA Phase 5,31.498744,74.427994,2,22.68 Marla,22.68,6174.63,For Rent,3,2022-10-27,2022,10,27,Zameen Estate Hub,Ahmed Butt
27,1027,https://www.zameen.com/Property/lahore_bahria_town_27.html,Flat,4281000.0,3M - 8M,"Bahria Town, Lahore",Lahore,Punjab,Bahria Town,31.581427,74.282666,5,4.85 Marla,4.85,1320.41,For Sale,5,2019-09-26,2019,9,26,Zameen Estate Hub,Sara Chaudhry
28,1028,https://www.zameen.com/Property/islamabad_f-10_28.html,Penthouse,3758000.0,3M - 8M,"F-10, Islamabad",Islamabad,Islamabad Capital Territory,F-10,33.636332,73.114852,6,7.63 Marla,7.63,2077.27,For Sale,6,2018-06-08,2018,6,8,Skyline Properties,Zainab Sheikh
29,1029,https://www.zameen.com/Property/islamabad_g-13_29.html,Penthouse,203800.0,Rental,"G-13, Islamabad",Islamabad,Islamabad Capital Territory,G-13,33.660583,73.049405,6,7.56 Marla,7.56,2058.21,For Rent,6,2021-02-15,2021,2,15,Skyline Properties,Bilal Butt
30,1030,https://www.zameen.com/Property/faisalabad_jaranwala_road_30.html,House,2916000.0,Under 3M,"Jaranwala Road, Faisalabad",Faisalabad,Punjab,Jaranwala Road,31.467393,73.136828,3,9.36 Marla,9.36,2548.26,For Sale,3,2022-11-15,2022,11,15,Aiwan-e-Property,Hassan Iqbal
31,1031,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_31.html,Upper Portion,9657000.0,8M - 20M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.63692,73.084223,4,13.51 Marla,13.51,3678.1,For Sale,5,2020-03-18,2020,3,18,Aiwan-e-Property,Fatima Malik
32,1032,https://www.zameen.com/Property/faisalabad_jaranwala_road_32.html,Farm House,248100.0,Rental,"Jaranwala Road, Faisalabad",Faisalabad,Punjab,Jaranwala Road,31.437671,73.205458,6,10.01 Marla,10.01,2725.22,For Rent,6,2021-04-26,2021,4,26,Prime Estate Consultants,Sara Sheikh
33,1033,https://www.zameen.com/Property/karachi_north_nazimabad_33.html,Room,11451000.0,8M - 20M,"North Nazimabad, Karachi",Karachi,Sindh,North Nazimabad,24.885453,66.995498,1,26.67 Marla,26.67,7260.91,For Sale,1,2022-10-27,2022,10,27,Skyline Properties,Kashif Aslam
34,1034,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_34.html,Room,4189000.0,3M - 8M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.592747,72.972843,1,7.22 Marla,7.22,1965.64,For Sale,1,2024-12-11,2024,12,11,Aiwan-e-Property,Bilal Sheikh
35,1035,https://www.zameen.com/Property/karachi_clifton_35.html,House,10502000.0,8M - 20M,"Clifton, Karachi",Karachi,Sindh,Clifton,24.844644,66.944711,1,20.45 Marla,20.45,5567.51,For Sale,1,2024-06-15,2024,6,15,Zameen Estate Hub,Fatima Farooq
36,1036,https://www.zameen.com/Property/lahore_wapda_town_36.html,Penthouse,206600.0,Rental,"Wapda Town, Lahore",Lahore,Punjab,Wapda Town,31.480272,74.414434,2,5.28 Marla,5.28,1437.48,For Rent,2,2023-10-23,2023,10,23,Metro Homes Realty,Ahmed Javed
37,1037,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_37.html,Penthouse,23791000.0,20M - 50M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.617991,73.02456,5,27.44 Marla,27.44,7470.54,For Sale,5,2022-12-18,2022,12,18,Prime Estate Consultants,Imran Iqbal
38,1038,https://www.zameen.com/Property/karachi_malir_38.html,Penthouse,7827000.0,3M - 8M,"Malir, Karachi",Karachi,Sindh,Malir,24.85108,67.035267,6,10.5 Marla,10.5,2858.62,For Sale,6,2023-11-06,2023,11,6,Metro Homes Realty,Ayesha Butt
39,1039,https://www.zameen.com/Property/karachi_gulshan-e-iqbal_39.html,Upper Portion,11285000.0,8M - 20M,"Gulshan-e-Iqbal, Karachi",Karachi,Sindh,Gulshan-e-Iqbal,24.847079,66.974041,2,22.9 Marla,22.9,6234.52,For Sale,2,2019-09-18,2019,9,18,City Housing Marketing,Ayesha Malik
40,1000,https://www.zameen.com/Property/rawalpindi_askari_14_40.html,House,3710000.0,3M - 8M,"Askari 14, Rawalpindi",Rawalpindi,Punjab,Askari 14,33.635939,72.984678,4,14.67 Marla,14.67,3993.91,For Sale,5,2024-06-16,2024,6,16,Metro Homes Realty,Zainab Khan
41,1001,https://www.zameen.com/Property/rawalpindi_askari_14_41.html,Room,14899000.0,8M - 20M,"Askari 14, Rawalpindi",Rawalpindi,Punjab,Askari 14,33.547317,73.04392,1,26.5 Marla,26.5,7214.62,For Sale,1,2021-01-22,2021,1,22,Metro Homes Realty,Zainab Khan
42,1002,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_42.html,Penthouse,6432000.0,3M - 8M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.58794,72.958612,5,7.67 Marla,7.67,2088.16,For Sale,5,2024-08-21,2024,8,21,Prime Estate Consultants,Ahmed Malik
43,1003,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_43.html,House,8397000.0,8M - 20M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.618686,73.012149,3,11.31 Marla,11.31,3079.15,For Sale,3,2022-04-02,2022,4,2,Aiwan-e-Property,Fatima Butt
44,1004,https://www.zameen.com/Property/faisalabad_wapda_city_44.html,Upper Portion,3896000.0,3M - 8M,"Wapda City, Faisalabad",Faisalabad,Punjab,Wapda City,31.394781,73.075195,6,5.28 Marla,5.28,1437.48,For Sale,6,2020-10-09,2020,10,9,Zameen Estate Hub,Ahmed Aslam
45,1005,https://www.zameen.com/Property/lahore_gulberg_45.html,Flat,6747000.0,3M - 8M,"Gulberg, Lahore",Lahore,Punjab,Gulberg,31.457696,74.282809,1,10.53 Marla,10.53,2866.79,For Sale,2,2019-04-15,2019,4,15,Skyline Properties,Sara Butt
46,1006,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_46.html,Farm House,253800.0,Rental,"PWD Housing Scheme, Islamabad",Islamabad,Islamabad Capital Territory,PWD Housing Scheme,33.733284,73.095296,6,14.69 Marla,14.69,3999.35,For Rent,6,2020-09-21,2020,9,21,Graana Real Estate,Usman Aslam
47,1007,https://www.zameen.com/Property/faisalabad_wapda_city_47.html,Upper Portion,2724000.0,Under 3M,"Wapda City, Faisalabad",Faisalabad,Punjab,Wapda City,31.439764,73.11295,6,10.97 Marla,10.97,2986.58,For Sale,6,2022-09-17,2022,9,17,Skyline Properties,Zainab Malik
48,1008,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_48.html,Lower Portion,21137000.0,20M - 50M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.554792,73.053864,2,27.33 Marla,27.33,7440.59,For Sale,3,2024-01-14,2024,1,14,Skyline Properties,Zainab Farooq
49,1009,https://www.zameen.com/Property/islamabad_g-13_49.html,Penthouse,3515000.0,3M - 8M,"G-13, Islamabad",Islamabad,Islamabad Capital Territory,G-13,33.608992,73.104052,4,4.78 Marla,4.78,1301.36,For Sale,4,2024-05-23,2024,5,23,Prime Estate Consultants,Fatima Raza
50,1010,https://www.zameen.com/Property/karachi_bahria_town_karachi_50.html,Flat,7946000.0,3M - 8M,"Bahria Town Karachi, Karachi",Karachi,Sindh,Bahria Town Karachi,24.794398,67.036312,4,9.68 Marla,9.68,2635.38,For Sale,5,2024-03-26,2024,3,26,Graana Real Estate,Imran Sheikh
51,1011,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_51.html,Farm House,8593000.0,8M - 20M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.591334,72.995943,1,19.79 Marla,19.79,5387.83,For Sale,1,2022-07-15,2022,7,15,City Housing Marketing,Ayesha Butt
52,1012,https://www.zameen.com/Property/faisalabad_eden_valley_52.html,Upper Portion,10114000.0,8M - 20M,"Eden Valley, Faisalabad",Faisalabad,Punjab,Eden Valley,31.420888,73.173861,6,24.15 Marla,24.15,6574.84,For Sale,6,2020-10-26,2020,10,26,Zameen Estate Hub,Bilal Sheikh
53,1013,https://www.zameen.com/Property/karachi_clifton_53.html,Flat,4460000.0,3M - 8M,"Clifton, Karachi",Karachi,Sindh,Clifton,24.817097,66.949811,4,10.45 Marla,10.45,2845.01,For Sale,5,2019-02-16,2019,2,16,Skyline Properties,Ayesha Butt
54,1014,https://www.zameen.com/Property/lahore_model_town_54.html,Room,1420000.0,Under 3M,"Model Town, Lahore",Lahore,Punjab,Model Town,31.580035,74.37055,1,3.28 Marla,3.28,892.98,For Sale,1,2019-06-02,2019,6,2,City Housing Marketing,Zainab Malik
55,1015,https://www.zameen.com/Property/rawalpindi_askari_14_55.html,Lower Portion,2230000.0,Under 3M,"Askari 14, Rawalpindi",Rawalpindi,Punjab,Askari 14,33.585811,72.945477,4,2.85 Marla,2.85,775.91,For Sale,4,2022-06-30,2022,6,30,Metro Homes Realty,Bilal Aslam
56,1016,https://www.zameen.com/Property/karachi_north_nazimabad_56.html,Upper Portion,4681000.0,3M - 8M,"North Nazimabad, Karachi",Karachi,Sindh,North Nazimabad,24.852782,66.991935,3,7.39 Marla,7.39,2011.93,For Sale,4,2024-12-08,2024,12,8,Zameen Estate Hub,Imran Iqbal
57,1017,https://www.zameen.com/Property/faisalabad_madina_town_57.html,Upper Portion,2657000.0,Under 3M,"Madina Town, Faisalabad",Faisalabad,Punjab,Madina Town,31.476069,73.080129,6,3.07 Marla,3.07,835.81,For Sale,6,2020-05-01,2020,5,1,City Housing Marketing,Ayesha Butt
58,1018,https://www.zameen.com/Property/karachi_north_nazimabad_58.html,House,6419000.0,3M - 8M,"North Nazimabad, Karachi",Karachi,Sindh,North Nazimabad,24.792089,66.958448,5,14.85 Marla,14.85,4042.91,For Sale,5,2020-08-06,2020,8,6,Aiwan-e-Property,Usman Farooq
59,1019,https://www.zameen.com/Property/islamabad_gulberg_greens_59.html,Room,3060000.0,3M - 8M,"Gulberg Greens, Islamabad",Islamabad,Islamabad Capital Territory,Gulberg Greens,33.613942,73.094721,1,7.88 Marla,7.88,2145.33,For Sale,1,2019-09-03,2019,9,3,Aiwan-e-Property,Sara Malik
60,1020,https://www.zameen.com/Property/faisalabad_eden_valley_60.html,Upper Portion,17890000.0,8M - 20M,"Eden Valley, Faisalabad",Faisalabad,Punjab,Eden Valley,31.383271,73.061378,6,20.75 Marla,20.75,5649.19,For Sale,6,2023-08-12,2023,8,12,Prime Estate Consultants,Zainab Farooq
61,1021,https://www.zameen.com/Property/rawalpindi_satellite_town_61.html,Room,3745000.0,3M - 8M,"Satellite Town, Rawalpindi",Rawalpindi,Punjab,Satellite Town,33.5773,73.058997,1,4.73 Marla,4.73,1287.74,For Sale,1,2024-06-14,2024,6,14,Prime Estate Consultants,Ahmed Butt
62,1022,https://www.zameen.com/Property/karachi_bahria_town_karachi_62.html,Room,4939000.0,3M - 8M,"Bahria Town Karachi, Karachi",Karachi,Sindh,Bahria Town Karachi,24.846036,66.972469,1,9.36 Marla,9.36,2548.26,For Sale,1,2023-07-08,2023,7,8,Graana Real Estate,Zainab Raza
63,1023,https://www.zameen.com/Property/lahore_wapda_town_63.html,Flat,5060000.0,3M - 8M,"Wapda Town, Lahore",Lahore,Punjab,Wapda Town,31.458947,74.402308,3,19.15 Marla,19.15,5213.59,For Sale,4,2018-12-27,2018,12,27,Aiwan-e-Property,Usman Raza
64,1024,https://www.zameen.com/Property/faisalabad_wapda_city_64.html,Farm House,508000.0,Rental,"Wapda City, Faisalabad",Faisalabad,Punjab,Wapda City,31.402969,73.142875,1,19.65 Marla,19.65,5349.71,For Rent,2,2023-08-04,2023,8,4,City Housing Marketing,Zainab Khan
65,1025,https://www.zameen.com/Property/islamabad_f-10_65.html,Farm House,2324000.0,Under 3M,"F-10, Islamabad",Islamabad,Islamabad Capital Territory,F-10,33.669679,73.003852,5,3.28 Marla,3.28,892.98,For Sale,5,2021-06-26,2021,6,26,Prime Estate Consultants,Ahmed Javed
66,1026,https://www.zameen.com/Property/lahore_johar_town_66.html,House,4031000.0,3M - 8M,"Johar Town, Lahore",Lahore,Punjab,Johar Town,31.479397,74.366902,6,7.0 Marla,7.0,1905.75,For Sale,6,2021-01-24,2021,1,24,Metro Homes Realty,Zainab Farooq
67,1027,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_67.html,Room,5632000.0,3M - 8M,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.616388,72.982154,1,7.51 Marla,7.51,2044.6,For Sale,1,2022-08-27,2022,8,27,Aiwan-e-Property,Imran Butt
68,1028,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_68.html,Room,668600.0,Rental,"PWD Housing Scheme, Islamabad",Islamabad,Islamabad Capital Territory,PWD Housing Scheme,33.664754,73.117156,1,21.46 Marla,21.46,5842.49,For Rent,1,2021-11-14,2021,11,14,Aiwan-e-Property,Imran Javed
69,1029,https://www.zameen.com/Property/karachi_malir_69.html,Flat,3856000.0,3M - 8M,"Malir, Karachi",Karachi,Sindh,Malir,24.938846,67.047883,4,8.57 Marla,8.57,2333.18,For Sale,4,2023-04-22,2023,4,22,City Housing Marketing,Fatima Iqbal
70,1030,https://www.zameen.com/Property/karachi_bahria_town_karachi_70.html,House,7568000.0,3M - 8M,"Bahria Town Karachi, Karachi",Karachi,Sindh,Bahria Town Karachi,24.920049,67.076293,4,12.89 Marla,12.89,3509.3,For Sale,4,2023-02-15,2023,2,15,Graana Real Estate,Sara Iqbal
71,1031,https://www.zameen.com/Property/lahore_johar_town_71.html,Penthouse,214100.0,Rental,"Johar Town, Lahore",Lahore,Punjab,Johar Town,31.593062,74.378988,3,12.3 Marla,12.3,3348.68,For Rent,4,2021-09-07,2021,9,7,Skyline Properties,Imran Iqbal
72,1032,https://www.zameen.com/Property/rawalpindi_bahria_town_rawalpindi_72.html,Room,3293000.0,3M - 8M,"Bahria Town Rawalpindi, Rawalpindi",Rawalpindi,Punjab,Bahria Town Rawalpindi,33.511718,72.984815,1,10.99 Marla,10.99,2992.03,For Sale,1,2019-02-08,2019,2,8,Skyline Properties,Bilal Farooq
73,1033,https://www.zameen.com/Property/lahore_dha_phase_5_73.html,Upper Portion,217000.0,Rental,"DHA Phase 5, Lahore",Lahore,Punjab,DHA Phase 5,31.468411,74.376219,4,9.72 Marla,9.72,2646.27,For Rent,4,2022-08-15,2022,8,15,Prime Estate Consultants,Sara Chaudhry
74,1034,https://www.zameen.com/Property/rawalpindi_dha_phase_2_rawalpindi_74.html,Lower Portion,190900.0,Rental,"DHA Phase 2 Rawalpindi, Rawalpindi",Rawalpindi,Punjab,DHA Phase 2 Rawalpindi,33.593518,72.962176,6,6.63 Marla,6.63,1805.02,For Rent,6,2018-02-08,2018,2,8,Skyline Properties,Zainab Butt
75,1035,https://www.zameen.com/Property/rawalpindi_satellite_town_75.html,Room,12423000.0,8M - 20M,"Satellite Town, Rawalpindi",Rawalpindi,Punjab,Satellite Town,33.523053,73.028408,1,15.57 Marla,15.57,4238.93,For Sale,1,2020-03-26,2020,3,26,Metro Homes Realty,Zainab Malik
76,1036,https://www.zameen.com/Property/faisalabad_jaranwala_road_76.html,Farm House,10793000.0,8M - 20M,"Jaranwala Road, Faisalabad",Faisalabad,Punjab,Jaranwala Road,31.494519,73.091819,4,14.32 Marla,14.32,3898.62,For Sale,5,2018-07-20,2018,7,20,Prime Estate Consultants,Zainab Butt
77,1037,https://www.zameen.com/Property/islamabad_bahria_town_islamabad_77.html,Farm House,7142000.0,3M - 8M,"Bahria Town Islamabad, Islamabad",Islamabad,Islamabad Capital Territory,Bahria Town Islamabad,33.653829,73.038432,5,10.36 Marla,10.36,2820.51,For Sale,6,2019-07-15,2019,7,15,City Housing Marketing,Bilal Khan
78,1038,https://www.zameen.com/Property/faisalabad_jaranwala_road_78.html,Farm House,3595000.0,3M - 8M,"Jaranwala Road, Faisalabad",Faisalabad,Punjab,Jaranwala Road,31.516558,73.187876,4,9.65 Marla,9.65,2627.21,For Sale,4,2024-01-19,2024,1,19,Aiwan-e-Property,Imran Javed
79,1039,https://www.zameen.com/Property/islamabad_f-10_79.html,Penthouse,4238000.0,3M - 8M,"F-10, Islamabad",Islamabad,Islamabad Capital Territory,F-10,33.662924,73.094409,4,12.73 Marla,12.73,3465.74,For Sale,4,2020-07-13,2020,7,13,Skyline Properties,Fatima Javed
80,1000,https://www.zameen.com/Property/lahore_bahria_town_80.html,Room,5126000.0,3M - 8M,"Bahria Town, Lahore",Lahore,Punjab,Bahria Town,31.548374,74.354136,1,12.41 Marla,12.41,3378.62,For Sale,1,2022-04-10,2022,4,10,Skyline Properties,Hassan Malik
81,1001,https://www.zameen.com/Property/faisalabad_eden_valley_81.html,Upper Portion,348400.0,Rental,"Eden Valley, Faisalabad",Faisalabad,Punjab,Eden Valley,31.392764,73.206402,6,8.24 Marla,8.24,2243.34,For Rent,6,2021-05-22,2021,5,22,City Housing Marketing,Fatima Malik
82,1002,https://www.zameen.com/Property/islamabad_f-10_82.html,House,15821000.0,8M - 20M,"F-10, Islamabad",Islamabad,Islamabad Capital Territory,F-10,33.746066,73.072688,4,23.18 Marla,23.18,6310.76,For Sale,4,2024-01-22,2024,1,22,Metro Homes Realty,Kashif Chaudhry
83,1003,https://www.zameen.com/Property/rawalpindi_askari_14_83.html,Upper Portion,9108000.0,8M - 20M,"Askari 14, Rawalpindi",Rawalpindi,Punjab,Askari 14,33.629371,73.040072,4,11.32 Marla,11.32,3081.87,For Sale,4,2019-02-11,2019,2,11,City Housing Marketing,Hassan Javed
84,1004,https://www.zameen.com/Property/lahore_johar_town_84.html,Upper Portion,3692000.0,3M - 8M,"Johar Town, Lahore",Lahore,Punjab,Johar Town,31.479371,74.298848,4,5.45 Marla,5.45,1483.76,For Sale,4,2024-09-11,2024,9,11,Graana Real Estate,Ahmed Raza
85,1005,https://www.zameen.com/Property/faisalabad_susan_road_85.html,House,585100.0,Rental,"Susan Road, Faisalabad",Faisalabad,Punjab,Susan Road,31.414764,73.212445,2,23.54 Marla,23.54,6408.76,For Rent,2,2019-08-28,2019,8,28,Skyline Properties,Kashif Khan
86,1006,https://www.zameen.com/Property/karachi_north_nazimabad_86.html,Upper Portion,79700.0,Rental,"North Nazimabad, Karachi",Karachi,Sindh,North Nazimabad,24.808579,66.929484,1,5.16 Marla,5.16,1404.81,For Rent,1,2020-09-01,2020,9,1,Prime Estate Consultants,Hassan Khan
87,1007,https://www.zameen.com/Property/rawalpindi_bahria_town_rawalpindi_87.html,Farm House,6586000.0,3M - 8M,"Bahria Town Rawalpindi, Rawalpindi",Rawalpindi,Punjab,Bahria Town Rawalpindi,33.601459,73.0823,4,21.11 Marla,21.11,5747.2,For Sale,5,2023-08-26,2023,8,26,Zameen Estate Hub,Kashif Khan
